GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MyBatis Generator Core,org.mybatis.generator.internal.util.messages,Messages,51,53,0,0,10,6,1,5,1,5
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,ProviderUpdateByExampleWithoutBLOBsMethodGenerator,28,202,4,6,7,42,4,6,0,5
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,ProviderCountByExampleMethodGenerator,43,101,3,3,10,25,3,2,0,2
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,ProviderApplyWhereMethodGenerator,25,548,6,8,3,33,5,5,0,3
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,ProviderDeleteByExampleMethodGenerator,36,101,3,3,8,25,3,2,0,2
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,ProviderSelectByExampleWithoutBLOBsMethodGenerator,37,226,5,9,9,48,5,7,0,5
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,ProviderSelectByExampleWithBLOBsMethodGenerator,0,21,0,0,0,5,0,4,0,4
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,ProviderUpdateByExampleWithBLOBsMethodGenerator,0,21,0,0,0,5,0,4,0,4
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,ProviderUpdateByExampleSelectiveMethodGenerator,28,244,4,10,7,51,4,5,0,2
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,ProviderInsertSelectiveMethodGenerator,25,177,4,14,6,41,4,7,0,2
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,AbstractJavaProviderMethodGenerator,4,17,1,1,1,6,1,2,0,2
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,ProviderUpdateByPrimaryKeySelectiveMethodGenerator,29,209,4,12,7,43,4,6,0,2
MyBatis Generator Core,org.mybatis.generator.api.dom.xml,XmlElement,13,159,0,6,5,40,3,10,3,7
MyBatis Generator Core,org.mybatis.generator.api.dom.xml,Document,9,76,2,2,4,21,5,4,3,4
MyBatis Generator Core,org.mybatis.generator.api.dom.xml,TextElement,3,21,0,0,1,7,1,2,1,2
MyBatis Generator Core,org.mybatis.generator.api.dom.xml,Attribute,9,52,4,2,2,15,3,5,0,5
MyBatis Generator Core,org.mybatis.generator.api.dom.xml,Element,0,3,0,0,0,2,0,1,0,1
MyBatis Generator Core,org.mybatis.generator.plugins,RenameExampleClassPlugin,23,53,7,3,4,14,5,3,0,3
MyBatis Generator Core,org.mybatis.generator.plugins,UnmergeableXmlMappersPlugin,10,0,0,0,4,0,3,0,3,0
MyBatis Generator Core,org.mybatis.generator.plugins,VirtualPrimaryKeyPlugin,30,0,4,0,11,0,5,0,3,0
MyBatis Generator Core,org.mybatis.generator.plugins,MapperConfigPlugin,224,0,8,0,51,0,8,0,4,0
MyBatis Generator Core,org.mybatis.generator.plugins,SerializablePlugin,17,106,3,3,4,30,3,7,0,7
MyBatis Generator Core,org.mybatis.generator.plugins,SqlMapConfigPlugin,18,207,2,4,4,47,2,5,0,4
MyBatis Generator Core,org.mybatis.generator.plugins,ToStringPlugin,30,117,5,5,8,33,6,6,2,5
MyBatis Generator Core,org.mybatis.generator.plugins,MapperAnnotationPlugin,0,20,1,1,0,6,1,3,0,3
MyBatis Generator Core,org.mybatis.generator.plugins,CachePlugin.CacheProperty,90,0,0,0,12,0,6,0,6,0
MyBatis Generator Core,org.mybatis.generator.plugins,RowBoundsPlugin,3,437,9,27,1,100,9,22,0,13
MyBatis Generator Core,org.mybatis.generator.plugins,CachePlugin,67,0,6,0,15,0,7,0,4,0
MyBatis Generator Core,org.mybatis.generator.plugins,FluentBuilderMethodsPlugin,9,79,1,1,2,19,1,3,0,3
MyBatis Generator Core,org.mybatis.generator.plugins,CaseInsensitiveLikePlugin,3,132,3,9,2,37,3,6,0,3
MyBatis Generator Core,org.mybatis.generator.plugins,EqualsHashCodePlugin,148,512,19,33,38,143,14,20,0,8
MyBatis Generator Core,org.mybatis.generator.codegen.ibatis2.sqlmap,SqlMapGenerator,2,398,11,29,1,116,11,32,0,23
MyBatis Generator Core,org.mybatis.generator.logging.jdk14,Jdk14LoggingImpl,38,0,0,0,12,0,6,0,6,0
MyBatis Generator Core,org.mybatis.generator.logging.jdk14,Jdk14LoggingLogFactory,5,3,0,0,1,1,1,1,1,1
