GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MyBatis Generator Core,org.mybatis.generator.plugins.dsql,DisableUpdatePlugin,8,17,0,0,4,8,4,8,4,8
MyBatis Generator Core,org.mybatis.generator.plugins.dsql,DisableInsertPlugin,2,25,0,0,1,12,1,12,1,12
MyBatis Generator Core,org.mybatis.generator.plugins.dsql,DisableDeletePlugin,2,11,0,0,1,5,1,5,1,5
MyBatis Generator Core,org.mybatis.generator.plugins.dsql,ReadOnlyPlugin,0,20,0,0,0,6,0,2,0,2
MyBatis Generator Core,org.mybatis.generator.internal.util.messages,Messages,16,53,0,0,8,5,0,5,0,5
MyBatis Generator Core,org.mybatis.generator.api.dom.kotlin.render,KotlinArgRenderer,0,40,0,0,0,7,0,5,0,5
MyBatis Generator Core,org.mybatis.generator.api.dom.kotlin.render,KotlinPropertyRenderer,0,47,0,0,0,9,0,5,0,5
MyBatis Generator Core,org.mybatis.generator.api.dom.kotlin.render,KotlinTypeRenderer,0,195,0,18,0,42,0,12,0,3
MyBatis Generator Core,org.mybatis.generator.api.dom.kotlin.render,KotlinFunctionRenderer,0,104,0,8,0,25,0,10,0,6
MyBatis Generator Core,org.mybatis.generator.api.dom.kotlin.render,KotlinRenderingUtilities,0,21,0,2,0,5,0,3,0,2
MyBatis Generator Core,org.mybatis.generator.api.dom.kotlin.render,KotlinFileRenderer,0,101,0,6,0,19,0,9,0,6
MyBatis Generator Core,org.mybatis.generator.api.dom.kotlin.render,KotlinNamedItemRenderer,0,26,0,0,0,5,0,5,0,5
MyBatis Generator Core,org.mybatis.generator.api.dom.xml,Document,0,34,0,0,0,11,0,5,0,5
MyBatis Generator Core,org.mybatis.generator.api.dom.xml,TextElement,0,10,0,0,0,2,0,2,0,2
MyBatis Generator Core,org.mybatis.generator.api.dom.xml,XmlElement,10,78,0,2,4,19,2,10,2,9
MyBatis Generator Core,org.mybatis.generator.api.dom.xml,SystemDocType,0,10,0,0,0,2,0,2,0,2
MyBatis Generator Core,org.mybatis.generator.api.dom.xml,PublicDocType,0,13,0,0,0,2,0,2,0,2
MyBatis Generator Core,org.mybatis.generator.api.dom.xml,Attribute,0,13,0,0,0,4,0,1,0,1
MyBatis Generator Core,org.mybatis.generator.plugins,RenameExampleClassPlugin,22,53,8,4,4,13,6,3,0,3
MyBatis Generator Core,org.mybatis.generator.plugins,UnmergeableXmlMappersPlugin,0,10,0,0,0,4,0,3,0,3
MyBatis Generator Core,org.mybatis.generator.plugins,VirtualPrimaryKeyPlugin,30,0,4,0,11,0,5,0,3,0
MyBatis Generator Core,org.mybatis.generator.plugins,JSpecifyPlugin,1,248,2,36,0,61,2,40,0,23
MyBatis Generator Core,org.mybatis.generator.plugins,SerializablePlugin,8,103,2,2,2,27,2,8,0,8
MyBatis Generator Core,org.mybatis.generator.plugins,CacheNamespacePlugin,0,195,0,8,0,45,0,19,0,15
MyBatis Generator Core,org.mybatis.generator.plugins,RecordBuilderPlugin,0,252,0,16,0,57,0,20,0,12
MyBatis Generator Core,org.mybatis.generator.plugins,CacheNamespacePlugin.CacheProperty,0,80,0,0,0,15,0,5,0,5
MyBatis Generator Core,org.mybatis.generator.plugins,IgnoreViewsPlugin,0,14,0,2,0,3,0,4,0,3
MyBatis Generator Core,org.mybatis.generator.plugins,RecordWithMethodsPlugin,0,89,0,2,0,23,0,5,0,4
MyBatis Generator Core,org.mybatis.generator.plugins,MapperAnnotationPlugin,0,20,1,1,0,6,1,3,0,3
MyBatis Generator Core,org.mybatis.generator.plugins,CaseInsensitiveLikePlugin,0,134,0,4,0,36,0,10,0,8
MyBatis Generator Core,org.mybatis.generator.plugins,EqualsHashCodePlugin,89,458,12,22,25,127,9,18,0,8
